団体コード,都道府県名,市区町村名,0～4歳,5～9,10～14,15～19,20～24,25～29,30～34,35～39,40～44,45～49,50～54,55～59,60～64,65～69,70～74,75～79,80～84,85～89,90～94,95～99,100歳以上
121053,千葉県,千葉市緑区,5433,6303,6801,7250,6899,6341,6935,7899,9183,11318,10189,8622,7447,7475,7487,6250,4105,2394,1010,277,49
121061,千葉県,千葉市美浜区,4949,6309,7248,7852,7295,5361,6216,8462,11650,14956,13041,9560,7359,8856,11137,9541,5877,2578,872,199,33
122025,千葉県,銚子市,1188,1622,1992,2434,2684,2400,2501,2720,3188,3952,4161,4413,4749,5323,5174,4309,3578,2477,1158,267,37
122033,千葉県,市川市,20027,19068,19131,20690,28578,35844,35105,35784,37916,43514,37380,29635,23803,24883,27403,22587,14988,8908,3798,981,164
122041,千葉県,船橋市,25564,28343,28779,29301,35427,37417,38242,42541,50097,57546,48201,37326,30409,34181,39160,35146,24737,13669,5277,1381,194
122050,千葉県,館山市,1207,1584,1789,1876,1633,1620,1752,2160,2867,3110,2793,2641,3010,3991,4587,3584,2564,1974,1029,337,53
122068,千葉県,木更津市,5285,6042,6162,6462,6681,6612,7604,8459,9691,11442,8650,7587,7479,9018,9814,8408,5248,3124,1415,370,64
122076,千葉県,松戸市,18799,19408,19959,22232,27567,28959,29545,31967,35325,43029,38370,30450,25432,28826,32998,28828,19851,11153,4440,1152,183
122084,千葉県,野田市,4876,6056,7083,7260,7778,6918,7388,8958,10887,12339,10014,8779,9155,11865,12939,10209,6302,3496,1583,434,54
122106,千葉県,茂原市,2593,3131,3453,3853,3930,3833,4112,4757,5722,6912,6167,5754,5899,7048,7672,6021,4131,2532,1244,318,46
122114,千葉県,成田市,5093,6061,6337,6468,9086,8746,8108,8953,9917,10653,8342,7257,7308,8389,8025,5787,3978,2500,1331,338,58
122122,千葉県,佐倉市,5418,6743,7382,7906,8064,7326,8263,9661,11691,13931,12021,10433,11029,13765,15016,12453,7584,4093,1694,490,82
122131,千葉県,東金市,1722,2194,2302,2852,3348,2816,3003,3218,3595,4266,3856,3931,4235,4787,4475,3262,2252,1404,761,170,35
122157,千葉県,旭市,2168,2522,2767,2996,3115,3139,3533,3696,4046,4630,4042,4258,4661,5149,4903,3564,2828,1989,1005,264,30
122165,千葉県,習志野市,7321,7727,7578,8537,10143,9505,10520,11803,13440,14997,13080,10227,8663,9068,10341,8984,6441,3594,1473,393,50
122173,千葉県,柏市,17588,18421,18871,19174,21708,22334,25186,28824,32432,35566,29284,23733,22152,26411,29256,23981,15924,9051,3822,1052,150
122181,千葉県,勝浦市,305,388,518,763,971,471,528,681,772,983,1035,1096,1277,1665,1754,1473,1088,838,474,122,20
122190,千葉県,市原市,9364,10741,11505,12664,13438,14060,14631,16113,18405,21976,18487,16792,17503,20725,20987,17191,11036,6206,2762,698,99
122203,千葉県,流山市,11477,10432,8710,7809,8320,10245,13791,15937,16307,16049,12064,9564,8836,10688,12089,10487,6642,3841,1649,477,62
122211,千葉県,八千代市,7924,8548,9411,10195,10596,10013,10856,12284,14745,18419,15469,11712,9587,11049,12789,11859,7986,4240,1643,400,61
